year,month,date,created_at,category_code,bunrui_code,bunrui_name,date_bunrui_key,amount,memo
2022,12,15,2022/12/15,A,01,みこ収入,2022121501,92500,
2022,12,15,2022/12/15,A,02,りさ収入,2022121502,54132,
2022,12,15,2022/12/15,A,03,臨時収入,2022121503,25000,
2022,12,15,2022/12/15,B,10,食費,2022121510,28511,
2022,12,15,2022/12/15,B,11,外食費,2022121511,22697,
2022,12,15,2022/12/15,E,12,日用品,2022121512,34181,
2022,12,15,2022/12/15,F,13,行楽費,2022121513,10997,松本旅行
2022,12,15,2022/12/15,Z,99,その他,2022121599,1280,
2022,12,15,2022/12/15,C,14,電気代,2022121514,5160,
2022,12,15,2022/12/15,G,15,通信費,2022121515,4158,
2022,12,15,2022/12/15,C,16,ガス代,2022121516,7641,
2022,12,15,2022/12/15,G,17,家賃,2022121517,87440,
2022,12,15,2022/12/15,C,18,水道代,2022121518,0,
2022,12,15,2022/12/15,D,19,ガソリン・ETC,2022121519,7105,
2022,12,15,2022/12/15,D,20,車維持費,2022121520,0,
2023,1,15,2023/1/15,A,01,みこ収入,2023011501,94608,
2023,1,15,2023/1/15,A,02,りさ収入,2023011502,71300,
2023,1,15,2023/1/15,A,03,臨時収入,2023011503,25000,
2023,1,15,2023/1/15,B,10,食費,2023011510,23026,
2023,1,15,2023/1/15,B,11,外食費,2023011511,25088,
2023,1,15,2023/1/15,E,12,日用品,2023011512,33079,
2023,1,15,2023/1/15,F,13,行楽費,2023011513,0,
2023,1,15,2023/1/15,Z,99,その他,2023011599,10380,
2023,1,15,2023/1/15,C,14,電気代,2023011514,5945,
2023,1,15,2023/1/15,G,15,通信費,2023011515,4158,
2023,1,15,2023/1/15,C,16,ガス代,2023011516,8342,
2023,1,15,2023/1/15,G,17,家賃,2023011517,87440,
2023,1,15,2023/1/15,C,18,水道代,2023011518,3234,
2023,1,15,2023/1/15,D,19,ガソリン・ETC,2023011519,11435,
2023,1,15,2023/1/15,D,20,車維持費,2023011520,0,
2023,2,15,2023/2/15,A,01,みこ収入,2023021501,79738,
2023,2,15,2023/2/15,A,02,りさ収入,2023021502,65394,
2023,2,15,2023/2/15,A,03,臨時収入,2023021503,25000,
2023,2,15,2023/2/15,B,10,食費,2023021510,25126,
2023,2,15,2023/2/15,B,11,外食費,2023021511,9925,
2023,2,15,2023/2/15,E,12,日用品,2023021512,17362,
2023,2,15,2023/2/15,F,13,行楽費,2023021513,0,
2023,2,15,2023/2/15,Z,99,その他,2023021599,5480,
2023,2,15,2023/2/15,C,14,電気代,2023021514,8785,
2023,2,15,2023/2/15,G,15,通信費,2023021515,4158,
2023,2,15,2023/2/15,C,16,ガス代,2023021516,10811,
2023,2,15,2023/2/15,G,17,家賃,2023021517,87440,
2023,2,15,2023/2/15,C,18,水道代,2023021518,0,
2023,2,15,2023/2/15,D,19,ガソリン・ETC,2023021519,2788,
2023,2,15,2023/2/15,D,20,車維持費,2023021520,46415,任意保険
2023,3,15,2023/3/15,A,01,みこ収入,2023031501,51983,
2023,3,15,2023/3/15,A,02,りさ収入,2023031502,0,
2023,3,15,2023/3/15,A,03,臨時収入,2023031503,25000,
2023,3,15,2023/3/15,B,10,食費,2023031510,28874,
2023,3,15,2023/3/15,B,11,外食費,2023031511,11899,
2023,3,15,2023/3/15,E,12,日用品,2023031512,15743,
2023,3,15,2023/3/15,F,13,行楽費,2023031513,5600,
2023,3,15,2023/3/15,Z,99,その他,2023031599,1280,
2023,3,15,2023/3/15,C,14,電気代,2023031514,8360,
2023,3,15,2023/3/15,G,15,通信費,2023031515,4158,
2023,3,15,2023/3/15,C,16,ガス代,2023031516,10564,
2023,3,15,2023/3/15,G,17,家賃,2023031517,87440,
2023,3,15,2023/3/15,C,18,水道代,2023031518,3724,
2023,3,15,2023/3/15,D,19,ガソリン・ETC,2023031519,0,
2023,3,15,2023/3/15,D,20,車維持費,2023031520,22330,バッテリー交換
2023,4,15,2023/4/15,A,01,みこ収入,2023041501,94617,
2023,4,15,2023/4/15,A,02,りさ収入,2023041502,149188,
2023,4,15,2023/4/15,A,03,臨時収入,2023041503,25000,
2023,4,15,2023/4/15,B,10,食費,2023041510,34222,
2023,4,15,2023/4/15,B,11,外食費,2023041511,16405,
2023,4,15,2023/4/15,E,12,日用品,2023041512,21736,
2023,4,15,2023/4/15,F,13,行楽費,2023041513,4600,
2023,4,15,2023/4/15,Z,99,その他,2023041599,1280,
2023,4,15,2023/4/15,C,14,電気代,2023041514,6018,
2023,4,15,2023/4/15,G,15,通信費,2023041515,4158,
2023,4,15,2023/4/15,C,16,ガス代,2023041516,9394,
2023,4,15,2023/4/15,G,17,家賃,2023041517,97440,
2023,4,15,2023/4/15,C,18,水道代,2023041518,0,
2023,4,15,2023/4/15,D,19,ガソリン・ETC,2023041519,3116,
2023,4,15,2023/4/15,D,20,車維持費,2023041520,0,
2023,5,15,2023/5/15,A,01,みこ収入,2023051501,92248,
2023,5,15,2023/5/15,A,02,りさ収入,2023051502,70026,
2023,5,15,2023/5/15,A,03,臨時収入,2023051503,25000,
2023,5,15,2023/5/15,B,10,食費,2023051510,26570,
2023,5,15,2023/5/15,B,11,外食費,2023051511,8162,
2023,5,15,2023/5/15,E,12,日用品,2023051512,21520,
2023,5,15,2023/5/15,F,13,行楽費,2023051513,0,
2023,5,15,2023/5/15,Z,99,その他,2023051599,27341,滝川家あいさつと菅野家あいさつ
2023,5,15,2023/5/15,C,14,電気代,2023051514,4155,
2023,5,15,2023/5/15,G,15,通信費,2023051515,4708,
2023,5,15,2023/5/15,C,16,ガス代,2023051516,9394,
2023,5,15,2023/5/15,G,17,家賃,2023051517,87440,
2023,5,15,2023/5/15,C,18,水道代,2023051518,3300,
2023,5,15,2023/5/15,D,19,ガソリン・ETC,2023051519,1964,
2023,5,15,2023/5/15,D,20,車維持費,2023051520,0,
2023,6,15,2023/6/15,A,01,みこ収入,2023061501,96822,
2023,6,15,2023/6/15,A,02,りさ収入,2023061501,61464,
2023,6,15,2023/6/15,A,03,臨時収入,2023061503,25000,
2023,6,15,2023/6/15,B,10,食費,2023061510,24869,
2023,6,15,2023/6/15,B,11,外食費,2023061511,8675,
2023,6,15,2023/6/15,E,12,日用品,2023061512,30519,
2023,6,15,2023/6/15,F,13,行楽費,2023061513,5000,
2023,6,15,2023/6/15,Z,99,その他,2023061599,12532,菅野家あいさつ
2023,6,15,2023/6/15,C,14,電気代,2023061514,5277,
2023,6,15,2023/6/15,G,15,通信費,2023061515,4708,
2023,6,15,2023/6/15,C,16,ガス代,2023061516,7960,
2023,6,15,2023/6/15,G,17,家賃,2023061517,87440,
